tweet_id,source_row,annotation_category,tweet_text_raw,text_clean,word_count,count,hate_speech,offensive_language,neither,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
T0018,313,Offensive language,"""@altosteel115: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally.",woof woof sexy thug boy scally,6,3,0,2,1,0.054491494,0.29100055,0.65450794,0.6000164,Positive
T0019,324,Offensive language,"""@clayton_jenn99: I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",i m gonna miss that bitch of a bus driver no you won t don t lie,17,3,0,3,0,0.928165,0.063716754,0.008118236,-0.9200468,Negative
T0020,354,Hate speech,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",jackies a retard blondeproblems at least i can make a grilled cheese,12,3,2,1,0,0.68613327,0.2340571,0.079809725,-0.60632354,Negative
T0021,393,Offensive language,"""@savage_twotone: Next year bitches is gonna be like you gotta promise you won't expose me 😂😂😭""",next year bitches is gonna be like you gotta promise you won t expose me,15,3,0,3,0,0.5649156,0.3813748,0.05370955,-0.51120603,Negative
T0022,405,Offensive language,"""@talibanshawtyy: Niggas whole hoes out here cuz"" Couldn't had said it better..🙌",niggas whole hoes out here cuz couldn t had said it better,12,3,1,2,0,0.15844968,0.29045838,0.55109197,0.3926423,Positive
T0023,417,Offensive language,"""@witmyRUDEass: When a bitch don't want a real job they just become strippers lol"" lol.",when a bitch don t want a real job they just become strippers lol lol,15,3,0,3,0,0.74157965,0.2280555,0.030364946,-0.7112147,Negative
T0024,430,Neither,"""Bae"" sounds like such a ghetto word. Use something else",bae sounds like such a ghetto word use something else,10,6,0,1,5,0.9254534,0.067853376,0.0066931434,-0.9187603,Negative
T0025,448,Offensive language,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV",eff it let s go after the cripple,8,3,1,2,0,0.5662889,0.38781172,0.045899387,-0.5203895,Negative
T0026,539,Offensive language,"""Nah girl I ain't gon be able to make it, it's been tight since Russ loss his job"" you in the back like ""damn bitch really""",nah girl i ain t gon be able to make it it s been tight since russ loss his job you in the back like damn bitch really,28,3,0,3,0,0.89043546,0.10038488,0.009179643,-0.8812558,Negative
T0027,540,Hate speech,"""Nah its You @NoMeek_JustMilz: 😂😂😂😂 yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",nah its you yo i thought some photoshopped my face on that faggot smmfh i hate yall,17,3,2,1,0,0.9322961,0.058580063,0.009123885,-0.92317224,Negative
T0028,549,Hate speech,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",our people now is the time for the aryan race stand up and say no more before the mongerls turn the world into a ghetto slum,26,3,3,0,0,0.8058163,0.18091963,0.01326404,-0.79255223,Negative
T0029,606,Offensive language,"""Y'all forget he has his brand new baby girl at home"" bitch the cookies are burning",y all forget he has his brand new baby girl at home bitch the cookies are burning,17,3,0,3,0,0.5899909,0.36479604,0.045213062,-0.54477787,Negative
T0030,609,Offensive language,"""Yo bitch on the horn. Tryna shoot a porn."" - @KingL That's T shirt worthy Tony",yo bitch on the horn tryna shoot a porn that s t shirt worthy tony,15,3,0,3,0,0.3188502,0.52284443,0.15830544,-0.16054475,Neutral
T0031,610,Offensive language,"""Yo can I sublet your pussy"" #ShitFahdSays",yo can i sublet your pussy shitfahdsays,7,3,0,3,0,0.48862007,0.4605515,0.0508284,-0.43779168,Negative
T0032,623,Neither,"""You look like little birds help you get dressed in the morning""",you look like little birds help you get dressed in the morning,12,3,0,1,2,0.075435005,0.6666951,0.2578698,0.1824348,Neutral
T0033,626,Offensive language,"""You took our land so you could make each other retarded in DIAPERS? Sure....use our image....cool...."" #redskins #NFL #concussion #jokes",you took our land so you could make each other retarded in diapers sure use our image cool redskins nfl concussion jokes,22,3,0,3,0,0.739507,0.22854087,0.031952165,-0.7075549,Negative
T0034,657,Hate speech,"""poor whitey"" http://t.co/3UkKeyznz8",poor whitey,2,3,2,1,0,0.80576754,0.18183559,0.012396847,-0.79337066,Negative
T0035,702,Offensive language,#DearFeministMen there are easier way to get pussy w/out sacrificing your man hood...best of all they dont include losing ur self respect!,dearfeministmen there are easier way to get pussy w out sacrificing your man hood best of all they dont include losing ur self respect,24,6,1,5,0,0.3776608,0.4425323,0.17980686,-0.19785395,Neutral
T0036,717,Offensive language,#Fact females that tweet ALL the dayum day r hoes that need attention #ijs #wontgetme,fact females that tweet all the dayum day r hoes that need attention ijs wontgetme,15,3,1,2,0,0.8694314,0.11992275,0.010645812,-0.85878557,Negative
T0037,718,Neither,"#FemaleLogic is worse than the jig, I'm convinced",femalelogic is worse than the jig i m convinced,9,3,0,0,3,0.9323515,0.06068326,0.0069651953,-0.9253863,Negative
T0038,720,Offensive language,#FreeElChapo is trending?! why cus French Montana's bitch ass?? you fucks that think selling drugs is cool are the LAMEST POSERS!!,freeelchapo is trending why cus french montana s bitch ass you fucks that think selling drugs is cool are the lamest posers,22,3,1,2,0,0.9572926,0.037712485,0.0049948893,-0.95229775,Negative
T0039,732,Offensive language,#IDontHaveTimeFor Ratchet hoes.,idonthavetimefor ratchet hoes,3,6,0,6,0,0.9018783,0.08703626,0.011085461,-0.89079285,Negative
T0040,796,Neither,#THEBOONDOCKS at 10:30 my nicca!,theboondocks at my nicca,4,3,0,1,2,0.0063725603,0.8093543,0.18427306,0.17790051,Neutral
T0041,830,Neither,#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.,yankees i went to golds with cruz in when he was a sound no upper lower body strength hmm now hr hitter won t say the s word,28,3,0,0,3,0.36178258,0.5739417,0.06427575,-0.29750684,Neutral
T0042,834,Neither,"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time",yankees primo just got home and the tanks are on mlb finally and they are winning even better time to get serious sept call up time,26,3,0,0,3,0.003027212,0.021574609,0.9753982,0.972371,Positive
T0043,859,Neither,#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!,inners still hanging in yankees we need this win nfl it s not sunday,14,3,0,0,3,0.02093074,0.22041428,0.75865495,0.7377242,Positive
T0044,884,Offensive language,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Close Up | Another pussy close up http://t.co/hBjDGvENXa",porn android iphone ipad sex xxx close up another pussy close up,12,3,0,3,0,0.11276512,0.7920764,0.09515855,-0.017606571,Neutral
T0045,900,Offensive language,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Hairy | Hairy Florence shoves a dildo in her hairy red pussy http://t.co/4DM8Fpcb2d",porn android iphone ipad sex xxx hairy hairy florence shoves a dildo in her hairy red pussy,17,3,0,3,0,0.26110947,0.6433645,0.09552601,-0.16558346,Neutral
T0046,928,Neither,#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad,redneck tow truck johndeere america,5,3,0,1,2,0.17134306,0.78769547,0.040961456,-0.1303816,Neutral
T0047,930,Neither,#southcarolina has a highschool graduation rate near 50% and that's why they have so many uninformed #teabaggers #morningjoe,southcarolina has a highschool graduation rate near and that s why they have so many uninformed teabaggers morningjoe,18,3,0,1,2,0.807335,0.18046317,0.012201868,-0.7951332,Negative
T0048,948,Offensive language,#xfactorau sick of guys who sing like pussies. Where are the rock type men?,xfactorau sick of guys who sing like pussies where are the rock type men,14,3,0,3,0,0.9201549,0.07265152,0.007193487,-0.9129614,Negative
T0049,950,Offensive language,$100 bid to go on a date with Zack Morris oh that dreamy son of a bitch,bid to go on a date with zack morris oh that dreamy son of a bitch,16,3,0,3,0,0.47658288,0.36414975,0.1592674,-0.3173155,Negative
T0050,953,Neither,"🍅🍅🍅 RT @GottliebShow: ""Killer line?"" @SBNationNBA: Josh Smith dropped a killer trash talk line on Kenneth http://t.co/C8d3sJoUpj”",rt killer line josh smith dropped a killer trash talk line on kenneth,13,3,0,0,3,0.33679795,0.6125083,0.05069379,-0.28610417,Neutral
T0051,989,Offensive language,"😂 Gucci b having me on my rude shit“@AmazinNaNa: Lol that's not nice ""@SMCo71: "" that bitch aint worth a quarter """"”",gucci b having me on my rude shit lol that s not nice that bitch aint worth a quarter,19,3,0,3,0,0.8977974,0.089078024,0.013124586,-0.8846728,Negative
T0052,991,Hate speech,😂 RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn & beating off & yo homie text u & it show his name in the banner you're a faggot,rt lmfao rt if you watching porn beating off yo homie text u it show his name in the banner you re a faggot,24,3,2,1,0,0.7891489,0.19554494,0.0153060835,-0.7738429,Negative
T0053,993,Offensive language,😂😂 “@Juggs201: SOMEBODY GONNA DIE 😭😭😭 RT @SMCo71: @Juggs201 😂 theres a bitch on NJT setting up a lean as we tweet”,somebody gonna die rt theres a bitch on njt setting up a lean as we tweet,16,3,0,3,0,0.8539626,0.13016511,0.015872277,-0.8380903,Negative
T0054,1020,Offensive language,😂😂😂😂😂 brittany bitch u my dog man 😂😂😂✌️✌️😩😩😩😩😩😩😹😹🙈🙈🙈🙈,brittany bitch u my dog man,6,6,0,6,0,0.34904048,0.4226345,0.228325,-0.120715484,Neutral
T0055,1055,Offensive language,😩😩😂😭😭 RT @Eb_Reloaded: @11wdNICK @KingHov1313 swear to God bitch I'm bouta delete my twitter account http://t.co/YPi52s4dtC,rt swear to god bitch i m bouta delete my twitter account,12,3,0,3,0,0.9184163,0.07074845,0.010835302,-0.90758103,Negative
T0056,1152,Offensive language,“@BarryClerjuste: I cried like a bitch after my first breakup. Never loved again lol”,i cried like a bitch after my first breakup never loved again lol,13,3,0,2,1,0.91147786,0.07788928,0.010632815,-0.90084505,Negative
T0057,1171,Offensive language,“@BlueEyeBeaner: Vienna sausage clit http://t.co/YY1Gj6oeds” I suck dat bitch. Don’t y’all eva believe a colored man don’t eat no pussay,vienna sausage clit i suck dat bitch don t y all eva believe a colored man don t eat no pussay,21,3,0,3,0,0.8883351,0.0978107,0.013854196,-0.8744809,Negative
T0058,1181,Offensive language,"“@BroCulture: When life knocks you down, stand the fuck up and say ""You hit like a little bitch.""”",when life knocks you down stand the fuck up and say you hit like a little bitch,17,3,0,3,0,0.78984475,0.17375755,0.036397625,-0.7534471,Negative
T0059,1190,Offensive language,“@CakeMamaa: Y'all hoes messy on god !”nbs👀,y all hoes messy on god nbs,7,3,1,2,0,0.79460174,0.18606359,0.01933466,-0.77526706,Negative
T0060,1230,Hate speech,"“@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN” FUCK YES, I DO! Send those illegal, wetbacks home!!!",we agree do you fuck yes i do send those illegal wetbacks home,13,3,2,1,0,0.16247688,0.28850877,0.5490144,0.3865375,Positive
T0061,1266,Offensive language,“@EdgarGuillenjr: Lol good now I got them nasty rednecks off my back I can take care of business” @BlakeAnderson21 @Dalton_ryann he serious,lol good now i got them nasty rednecks off my back i can take care of business he serious,19,3,1,2,0,0.11970705,0.3698677,0.51042527,0.39071822,Positive
T0062,1374,Neither,“@JukeJuke_9: Lance Stevenson gone leave Indiana” he trash anyway,lance stevenson gone leave indiana he trash anyway,8,3,0,1,2,0.7238903,0.2648961,0.011213617,-0.7126767,Negative
T0063,1380,Offensive language,"“@KaayGQ: Sexy bitch, hope she bout it”",sexy bitch hope she bout it,6,6,0,6,0,0.023923658,0.14588946,0.83018684,0.8062632,Positive
T0064,1410,Offensive language,“@LeggsMania: the next time I see this bitch I'm beating her ass. job or not.” lol,the next time i see this bitch i m beating her ass job or not lol,16,3,0,3,0,0.8219783,0.14450073,0.03352102,-0.7884573,Negative
T0065,1415,Offensive language,“@Livefromthe_A: These Niggaz bitches hiding behind gangs they ain't in 💯 🐸☕️” 🙌💯,these niggaz bitches hiding behind gangs they ain t in,10,3,0,3,0,0.33149216,0.54167,0.12683779,-0.20465437,Neutral
T0066,1427,Offensive language,“@MaRAtheeMODEL: @Iam_KiDD_PhilA 😂 Marcus bitch ass @HeartOfAHustlah ain't loyal at all! Team hopping ass !!!” 😂😭😂😭😂🐸☕️,marcus bitch ass ain t loyal at all team hopping ass,11,3,0,3,0,0.94332,0.049762066,0.0069179893,-0.93640196,Negative
T0067,1428,Offensive language,“@MaRAtheeMODEL: Hoe fax = type yo bitch number in google to see if it pops up on back pagE thank @HeartOfAHustlah” 😂😭😂😭,hoe fax type yo bitch number in google to see if it pops up on back page thank,18,3,0,3,0,0.45750725,0.4821192,0.06037351,-0.39713374,Neutral
T0068,1440,Offensive language,“@MattieTrump97: Eat a lot of protein Eat a lot of pussy #MattieTrumpsTipsForABetterLife” Eat the whole ass,eat a lot of protein eat a lot of pussy mattietrumpstipsforabetterlife eat the whole ass,15,3,1,2,0,0.72372234,0.23152064,0.04475701,-0.67896533,Negative
T0069,1452,Neither,“@MomMeMustHaves: MMMH Daily is out! http://t.co/bPtRtXcel0 Stories via @KristinCruz” @ExMoShow #yellow is IN! & @romyraves luv the bling!,mmmh daily is out stories via yellow is in luv the bling,12,3,0,0,3,0.0020158251,0.04404374,0.95394045,0.9519246,Positive
T0070,1457,Offensive language,“@MrDelightfullll: I've sounded like a fag the last few days 🙈😁😁” your emotions are inspiring 💖,i ve sounded like a fag the last few days your emotions are inspiring,14,3,0,3,0,0.068098985,0.13634787,0.7955531,0.7274541,Positive
T0071,1473,Offensive language,"“@NoChillPaz: Mom : Dont call a girl a bitch. That's somebody's daughter,sister,niece... Me : And somebody's bitch too”",mom dont call a girl a bitch that s somebody s daughter sister niece me and somebody s bitch too,20,3,0,2,1,0.74271435,0.23987298,0.01741264,-0.7253017,Negative
T0072,1497,Offensive language,“@PostBadBitches: http://t.co/adhJnGzVPg”these the white girls u should holla at but Nooooo brothas go for the ugliest bad built hoes ever,the white girls u should holla at but nooooo brothas go for the ugliest bad built hoes ever,18,3,0,3,0,0.86919796,0.11481174,0.015990304,-0.85320765,Negative
T0073,1523,Offensive language,“@RoJustDGAF Aren't they all tho bro? RT @landoup: I hate a nosey bitch....”some more than others,aren t they all tho bro rt i hate a nosey bitch some more than others,16,3,0,3,0,0.88135713,0.10738195,0.011260952,-0.8700962,Negative
T0074,1535,Offensive language,“@SAVINGNOHOES: When she ask how imma eat her pussy https://t.co/6wVjrC3m1Q”💀,when she ask how imma eat her pussy,8,3,0,3,0,0.06277475,0.89102954,0.04619566,-0.016579088,Neutral
T0075,1548,Offensive language,“@SexyUnderHere: Females that know they are hoes really the coolest chicks....all sex asides”lmao,females that know they are hoes really the coolest chicks all sex asides lmao,14,3,0,3,0,0.056433737,0.33364177,0.60992455,0.5534908,Positive
T0076,1582,Offensive language,“@TedOfficialPage: Fucked your bitch and left her like... http://t.co/x41Q6LUH37”😩😩😂,fucked your bitch and left her like,7,3,0,3,0,0.7464259,0.23890692,0.014667109,-0.73175883,Negative
T0077,1598,Offensive language,“@TheRealTenski: Miss you @Ex” pussy,miss you pussy,3,3,0,3,0,0.27616072,0.61891705,0.10492221,-0.17123851,Neutral
T0078,1604,Offensive language,“@Tinypinkisboss: can't stand a playin ass nigga✋”bitch*,can t stand a playin ass nigga bitch,8,3,1,2,0,0.93037397,0.060918067,0.008707881,-0.9216661,Negative
T0079,1607,Offensive language,“@ToriJBerman: Lover http://t.co/pJphVGW4F2”my old bitch 😂,lover old bitch,3,3,0,3,0,0.7768125,0.20307234,0.020115228,-0.75669724,Negative
T0080,1622,Offensive language,“@TyLawson3: F**k it!!!!! I'm never wearing my headband again either!!!!!!” but you don't hoop like a lil bitch tho...,f k it i m never wearing my headband again either but you don t hoop like a lil bitch tho,21,3,0,3,0,0.9376647,0.054774273,0.0075610303,-0.93010366,Negative
T0081,1624,Offensive language,“@Tylar____: This single shit so boring 😫😒”suck it bitch,this single shit so boring suck it bitch,8,6,0,6,0,0.9558743,0.038807362,0.005318233,-0.9505561,Negative
T0082,1645,Offensive language,“@WorldStarFunny: we don't love these hoes http://t.co/WeKdL09bq5” @Ilovebamf 👌,we don t love these hoes,6,3,0,3,0,0.87836444,0.10914421,0.012491238,-0.8658732,Negative
T0083,1659,Offensive language,“@_1KANE: LMAOOO I find this shit so funny y'all hoes ain't content with working it out with one nigga http://t.co/dBtcv0fBN1”that's boring,lmaooo i find this shit so funny y all hoes ain t content with working it out with one nigga boring,21,3,0,3,0,0.8505079,0.12576118,0.023730887,-0.82677704,Negative
T0084,1697,Offensive language,“@___Tamm: @VoiceOfDStreetz cuz you a hoe lol” cuz you went on your lil rant on me man!,cuz you a hoe lol cuz you went on your lil rant on me man,15,3,0,3,0,0.78060865,0.19460048,0.024790887,-0.7558178,Negative
T0085,1701,Offensive language,“@__kiante: “@1017_Sqquad: Iont got not type ... Bad bitches is the only thing that I like” ayeee!!” Throw that ass in a sphere 👀😂,iont got not type bad bitches is the only thing that i like ayeee throw that ass in a sphere,20,3,0,3,0,0.5203501,0.2915248,0.18812503,-0.33222508,Negative
T0086,1713,Offensive language,“@_hellMEL: Men hop in they feelings much quicker than women.” Not me 😈 I hop in ya bitch,men hop in they feelings much quicker than women not me i hop in ya bitch,16,3,0,3,0,0.25331908,0.5748872,0.17179361,-0.081525475,Neutral
T0087,1744,Offensive language,"“@briceokc: ""cigarettes are so gross"" -half the bitches that smoke cigarettes 😒” @gfys__",cigarettes are so gross half the bitches that smoke cigarettes,10,3,0,3,0,0.9143129,0.07855494,0.0071321917,-0.9071807,Negative
T0088,1771,Offensive language,“@d6_9b Dora & her table manners 😒”--- she's eating like a sloppy hoe!!?,dora her table manners she s eating like a sloppy hoe,11,3,0,3,0,0.9404691,0.054582283,0.004948669,-0.9355204,Negative
T0089,1773,Offensive language,“@daberellla: just demolishing this huge bitch 🍪 http://t.co/AWYdBJxKs4”sharing is caring 👌,just demolishing this huge bitch is caring,7,3,0,3,0,0.3028596,0.3757827,0.3213576,0.018498003,Neutral
T0090,1791,Offensive language,“@eminoelle: Why you let these hoes tear what we had right apart”,why you let these hoes tear what we had right apart,11,3,1,2,0,0.8260164,0.16574253,0.008241004,-0.8177754,Negative
T0091,1801,Offensive language,“@flvshy5: Might go to plaq hc”bitch who you gone go with,might go to plaq hc bitch who you gone go with,11,3,0,3,0,0.33522084,0.6441642,0.020614885,-0.31460595,Neutral
T0092,1808,Offensive language,“@gmail_candy: It don't matter where we at this nigga always tryna holla at a bitch 😂😂 @tranSactionRAP” where. y'all. at?,it don t matter where we at this nigga always tryna holla at a bitch where y all at,19,3,0,3,0,0.6902397,0.27918705,0.0305733,-0.6596664,Negative
T0093,1824,Offensive language,“@iamSHIRAQ: @WhereYoHussleAt u got hoes tho” WERD 👂 WHERE 👀,u got hoes tho werd where,6,3,0,3,0,0.10742636,0.86525124,0.02732242,-0.08010394,Neutral
T0094,1833,Offensive language,"“@itsDeSha__: I don't take people niggas bitches don't play about they niggas , specially they baby daddies 😭😂😂😂”No BS",i don t take people niggas bitches don t play about they niggas specially they baby daddies no bs,19,6,1,5,0,0.7214895,0.24752592,0.03098467,-0.6905048,Negative
T0095,1835,Offensive language,“@itsdaniellef: 😉” hoe,hoe,1,3,0,3,0,0.3869793,0.4820395,0.13098118,-0.25599813,Neutral
T0096,1854,Offensive language,"“@keyna__: “@cosmeticJUNKiee: ""need to get laid 😂😂😂😂 sike im celibate"" bitches be like 👆👆👆👆👆👆👆”👀”👀",need to get laid sike im celibate bitches be like,10,3,0,3,0,0.537229,0.42148766,0.041283388,-0.4959456,Negative
T0097,1896,Offensive language,“@missyf922: It's my birthday!!!!! Yesssss!!!!!” Obviously nobody cares bitch,it s my birthday yesssss obviously nobody cares bitch,9,3,0,3,0,0.27566582,0.250422,0.4739122,0.19824639,Positive
T0098,1900,Offensive language,“@nerfgunirwin: “@1DAlerts: Just saw Ashton. Hardly anyone cared. Waiting for Harry 😜” wtf” bitch I'd be all up in Ashton's grill you feel?,just saw ashton hardly anyone cared waiting for harry wtf bitch i d be all up in ashton s grill you feel,22,3,0,3,0,0.5860017,0.3709565,0.04304183,-0.54295987,Negative
T0099,1933,Offensive language,“@scoop82294: If you don't have your read receipts on you a bitch” the bitchyest bitch ever,if you don t have your read receipts on you a bitch the bitchyest bitch ever,16,3,0,3,0,0.93279755,0.06006249,0.0071400255,-0.9256575,Negative
T0100,1935,Offensive language,“@skinnysowhat: @PAPER_CHAYSIN aye and when the hoes start coming don't forget who put you on 😌” I won't !!! 😁😁😁,aye and when the hoes start coming don t forget who put you on i won t,17,3,0,3,0,0.04755462,0.32523352,0.6272119,0.5796573,Positive
T0101,1944,Offensive language,“@souljaboy: @kmichelle shitty pussy 💩”✌️,shitty pussy,2,3,1,2,0,0.9425415,0.051046073,0.0064125243,-0.936129,Negative
T0102,1946,Offensive language,“@souljaboy: @kmichelle you mean the niggaz i shot? Ill give you 100k if u let any nigga smell your pussy and it don't smell like shit.” 😩,you mean the niggaz i shot ill give you k if u let any nigga smell your pussy and it don t smell like shit,25,3,0,3,0,0.771529,0.19637991,0.032091096,-0.73943794,Negative
T0103,1974,Offensive language,“@trillasfvck: all these bitches getting mommy money” niggas too.,all these bitches getting mommy money niggas too,8,3,0,3,0,0.48508134,0.4617783,0.053140312,-0.43194103,Negative
T0104,1997,Offensive language,“@yeyo478: @Helenbabeey_ look at my benz bitch I've been the shit http://t.co/H0iXjZH0tZ”LMAOOO,look at my benz bitch i ve been the shit,10,3,0,3,0,0.8782528,0.111477174,0.010270018,-0.8679828,Negative
T0105,2000,Neither,“@yungtfti: I feel sorry for anyone who paid for LIC because edc is trash music”,i feel sorry for anyone who paid for lic because edc is trash music,14,3,0,0,3,0.95287997,0.042220857,0.0048991754,-0.94798076,Negative
T0106,2029,Neither,★@★@★@★@★ GRAND OPENING ! ★@★@★@★@★ TOP CLASS ★ Oriental Massage ★ PERFECT !★ http://t.co/zibllnm1ZS,grand opening top class oriental massage perfect,7,3,0,0,3,0.0032458745,0.051539313,0.94521487,0.941969,Positive
T0107,2037,Offensive language,& These bitches bound to get hurt cause a lot of these niggas be playing,these bitches bound to get hurt cause a lot of these niggas be playing,14,6,1,5,0,0.8738612,0.11565265,0.010486139,-0.86337507,Negative
T0108,2050,Neither,<<<when it's yellow outside,when it s yellow outside,5,3,0,0,3,0.029085737,0.84759855,0.12331571,0.09422997,Neutral
T0109,2057,Offensive language,' August Alsina Deserved that 󾭻󾭻󾮞 My niggah .,august alsina deserved that my niggah,6,6,0,6,0,0.046861093,0.35829553,0.5948433,0.5479822,Positive
T0110,2062,Offensive language,' Bitch caught a body about a week ago ! Fuck with us and we get to tweekin hoe ! Run up on that niggah get to... http://t.co/av9YPjtwxn,bitch caught a body about a week ago fuck with us and we get to tweekin hoe run up on that niggah get to,24,6,1,5,0,0.8767486,0.10891894,0.014332504,-0.8624161,Negative
T0111,2081,Offensive language,"' Hoes on my mind , I fuck hoes all the time . #FatTrel",hoes on my mind i fuck hoes all the time fattrel,11,6,0,6,0,0.63313514,0.31502795,0.051836953,-0.5812982,Negative
T0112,2094,Offensive language,"' I told this niggah Maya Angelo died.... This niggah gon ask me "" is that the Red Ninja Turtle ? 󾌴󾰑󾮝 Wtf .",i told this niggah maya angelo died this niggah gon ask me is that the red ninja turtle wtf,19,6,0,5,1,0.6184815,0.36571068,0.015807854,-0.60267365,Negative
T0113,2101,Offensive language,' I'm that niggah you can show out in public babbbbbbyyyy 󾌧󾬏 lol,i m that niggah you can show out in public babbbbbbyyyy lol,12,3,0,2,1,0.044199027,0.5401479,0.41565308,0.37145406,Neutral
T0114,2148,Offensive language,"' That fb profile checker thing fake then a mf , I just added some bitch yesterday and it had me on the top . Fuck fr ?",that fb profile checker thing fake then a mf i just added some bitch yesterday and it had me on the top fuck fr,24,3,0,3,0,0.90911436,0.083867006,0.0070186555,-0.9020957,Negative
