tweet_id,source_row,count,hate_speech,offensive_language,neither,class,tweet_text
T0065,1415,3,0,3,0,1,&#8220;@Livefromthe_A: These Niggaz bitches hiding behind gangs they ain't in &#128175; &#128056;&#9749;&#65039;&#8221; &#128588;&#128175;
T0066,1427,3,0,3,0,1,&#8220;@MaRAtheeMODEL: @Iam_KiDD_PhilA &#128514; Marcus bitch ass @HeartOfAHustlah ain't loyal at all! Team hopping ass !!!&#8221; &#128514;&#128557;&#128514;&#128557;&#128514;&#128056;&#9749;&#65039;
T0067,1428,3,0,3,0,1,"&#8220;@MaRAtheeMODEL: Hoe fax = type yo bitch number in google to see if it pops up on back pagE

thank @HeartOfAHustlah&#8221; &#128514;&#128557;&#128514;&#128557;"
T0068,1440,3,1,2,0,1,"&#8220;@MattieTrump97: Eat a lot of protein
Eat a lot of pussy
#MattieTrumpsTipsForABetterLife&#8221;

Eat the whole ass"
T0069,1452,3,0,0,3,2,&#8220;@MomMeMustHaves: MMMH Daily is out! http://t.co/bPtRtXcel0 Stories via @KristinCruz&#8221; @ExMoShow #yellow is IN! &amp; @romyraves luv the bling!
T0070,1457,3,0,3,0,1,&#8220;@MrDelightfullll: I've sounded like a fag the last few days &#128584;&#128513;&#128513;&#8221; your emotions are inspiring &#128150;
T0071,1473,3,0,2,1,1,"&#8220;@NoChillPaz: Mom : Dont call a girl a bitch. That's somebody's daughter,sister,niece...
Me : And somebody's bitch too&#8221;"
T0072,1497,3,0,3,0,1,&#8220;@PostBadBitches: http://t.co/adhJnGzVPg&#8221;these the white girls u should holla at but Nooooo brothas go for the ugliest bad built hoes ever
T0073,1523,3,0,3,0,1,&#8220;@RoJustDGAF Aren't they all tho bro? RT @landoup: I hate a nosey bitch....&#8221;some more than others
T0074,1535,3,0,3,0,1,&#8220;@SAVINGNOHOES: When she ask how imma eat her pussy https://t.co/6wVjrC3m1Q&#8221;&#128128;
T0075,1548,3,0,3,0,1,&#8220;@SexyUnderHere: Females that know they are hoes really the coolest chicks....all sex asides&#8221;lmao
T0076,1582,3,0,3,0,1,&#8220;@TedOfficialPage: Fucked your bitch and left her like... http://t.co/x41Q6LUH37&#8221;&#128553;&#128553;&#128514;
T0077,1598,3,0,3,0,1,&#8220;@TheRealTenski: Miss you @Ex&#8221; pussy
T0078,1604,3,1,2,0,1,&#8220;@Tinypinkisboss: can't stand a playin ass nigga&#9995;&#8221;bitch*
T0079,1607,3,0,3,0,1,&#8220;@ToriJBerman: Lover http://t.co/pJphVGW4F2&#8221;my old bitch &#128514;
T0080,1622,3,0,3,0,1,&#8220;@TyLawson3: F**k it!!!!! I'm never wearing my headband again either!!!!!!&#8221; but you don't hoop like a lil bitch tho...
T0081,1624,6,0,6,0,1,&#8220;@Tylar____: This single shit so boring &#128555;&#128530;&#8221;suck it bitch
T0082,1645,3,0,3,0,1,&#8220;@WorldStarFunny: we don't love these hoes http://t.co/WeKdL09bq5&#8221; @Ilovebamf &#128076;
T0083,1659,3,0,3,0,1,&#8220;@_1KANE: LMAOOO I find this shit so funny y'all hoes ain't content with working it out with one nigga http://t.co/dBtcv0fBN1&#8221;that's boring
T0084,1697,3,0,3,0,1,&#8220;@___Tamm: @VoiceOfDStreetz cuz you a hoe lol&#8221; cuz you went on your lil rant on me man!
T0085,1701,3,0,3,0,1,&#8220;@__kiante: &#8220;@1017_Sqquad: Iont got not type ... Bad bitches is the only thing that I like&#8221; ayeee!!&#8221; Throw that ass in a sphere &#128064;&#128514;
T0086,1713,3,0,3,0,1,&#8220;@_hellMEL: Men hop in they feelings much quicker than women.&#8221; Not me &#128520; I hop in ya bitch
T0087,1744,3,0,3,0,1,"&#8220;@briceokc: ""cigarettes are so gross"" -half the bitches that smoke cigarettes &#128530;&#8221; @gfys__"
T0088,1771,3,0,3,0,1,&#8220;@d6_9b Dora &amp; her table manners &#128530;&#8221;--- she's eating like a sloppy hoe!!?
T0089,1773,3,0,3,0,1,&#8220;@daberellla: just demolishing this huge bitch &#127850; http://t.co/AWYdBJxKs4&#8221;sharing is caring &#128076;
T0090,1791,3,1,2,0,1,&#8220;@eminoelle: Why you let these hoes tear what we had right apart&#8221;
T0091,1801,3,0,3,0,1,&#8220;@flvshy5: Might go to plaq hc&#8221;bitch who you gone go with
T0092,1808,3,0,3,0,1,&#8220;@gmail_candy: It don't matter where we at this nigga always tryna holla at a bitch &#128514;&#128514; @tranSactionRAP&#8221; where. y'all. at?
T0093,1824,3,0,3,0,1,&#8220;@iamSHIRAQ: @WhereYoHussleAt u got hoes tho&#8221; WERD &#128066; WHERE &#128064;
T0094,1833,6,1,5,0,1,"&#8220;@itsDeSha__: I don't take people niggas bitches don't play about they niggas , specially they baby daddies &#128557;&#128514;&#128514;&#128514;&#8221;No BS"
T0095,1835,3,0,3,0,1,&#8220;@itsdaniellef: &#128521;&#8221; hoe
T0096,1854,3,0,3,0,1,"&#8220;@keyna__: &#8220;@cosmeticJUNKiee: ""need to get laid &#128514;&#128514;&#128514;&#128514; 
sike im celibate""

bitches be like &#128070;&#128070;&#128070;&#128070;&#128070;&#128070;&#128070;&#8221;&#128064;&#8221;&#128064;"
T0097,1896,3,0,3,0,1,"&#8220;@missyf922: It's my birthday!!!!! Yesssss!!!!!&#8221;

Obviously nobody cares bitch"
T0098,1900,3,0,3,0,1,&#8220;@nerfgunirwin: &#8220;@1DAlerts: Just saw Ashton. Hardly anyone cared. Waiting for Harry &#128540;&#8221; wtf&#8221; bitch I'd be all up in Ashton's grill you feel?
T0099,1933,3,0,3,0,1,&#8220;@scoop82294: If you don't have your read receipts on you a bitch&#8221; the bitchyest bitch ever
T0100,1935,3,0,3,0,1,&#8220;@skinnysowhat: @PAPER_CHAYSIN aye and when the hoes start coming don't forget who put you on &#128524;&#8221; I won't !!! &#128513;&#128513;&#128513;
T0101,1944,3,1,2,0,1,&#8220;@souljaboy: @kmichelle shitty pussy &#128169;&#8221;&#9996;&#65039;
T0102,1946,3,0,3,0,1,&#8220;@souljaboy: @kmichelle you mean the niggaz i shot? Ill give you 100k if u let any nigga smell your pussy and it don't smell like shit.&#8221; &#128553;
T0103,1974,3,0,3,0,1,&#8220;@trillasfvck: all these bitches getting mommy money&#8221; niggas too.
T0104,1997,3,0,3,0,1,&#8220;@yeyo478: @Helenbabeey_ look at my benz bitch I've been the shit http://t.co/H0iXjZH0tZ&#8221;LMAOOO
T0105,2000,3,0,0,3,2,&#8220;@yungtfti: I feel sorry for anyone who paid for LIC because edc is trash music&#8221;
T0106,2029,3,0,0,3,2,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/zibllnm1ZS
T0107,2037,6,1,5,0,1,&amp; These bitches bound to get hurt cause a lot of these niggas be playing
T0108,2050,3,0,0,3,2,&lt;&lt;&lt;when it's yellow outside
T0109,2057,6,0,6,0,1,' August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .
T0110,2062,6,1,5,0,1,' Bitch caught a body about a week ago ! Fuck with us and we get to tweekin hoe ! Run up on that niggah get to... http://t.co/av9YPjtwxn
T0111,2081,6,0,6,0,1,"' Hoes on my mind , I fuck hoes all the time . #FatTrel"
T0112,2094,6,0,5,1,1,"' I told this niggah Maya Angelo died.... This niggah gon ask me "" is that the Red Ninja Turtle ? &#1041204;&#1043473;&#1043357; Wtf ."
T0113,2101,3,0,2,1,1,' I'm that niggah you can show out in public babbbbbbyyyy &#1041191;&#1043215; lol
T0114,2148,3,0,3,0,1,"' That fb profile checker thing fake then a mf , I just added some bitch yesterday and it had me on the top . Fuck fr ?"
T0115,2157,6,1,5,0,1,' Waaaaittt niggah holllll'up &#9995; these niggahs come to town start wife'n my old sluts &#1041204;&#1041204;&#1041204;&#1041210;&#1041210; .
T0116,2179,3,0,0,3,2,(U-turns on yellow) &#161;NO ACEPTAR ESTE LUZ ROJO! (&#9835; Lights taking too long make me bilingual &#9835;)
T0117,2249,3,0,3,0,1,"1, 2, 3, 4, 5 I&#8217;m too drunk to walk, let&#8217;s drive. I got bitches with me all night And the party don&#8217;t start 'til the drugs arrive #Loaded"
T0118,2258,3,0,3,0,1,"11/19 w/ @anjahlamarie - the depot 
12/19 - a pussyfootin xxxmas (hoe hoe hoe motherfucker santa claws is coming to town)"
T0119,2284,3,0,0,3,2,22 talented drivers RT @garrisonstudio: I am really glad there haven't been any yellows. But why haven't there been any yellows??
T0120,2295,3,0,3,0,1,"300 bitch we hot, we done took flight !"
T0121,2301,3,0,0,3,2,"4&#8419;2&#8419;0&#8419;

moke up"
T0122,2306,3,0,0,3,2,"5 bags of chips, 3 Rice Krispies, 3 seeds, 3 gummies, a pop tart, some crackers, 3 powerades, and a water yuhhh I'm good lol"
T0123,2308,3,0,0,3,2,5:40 A.M. and still awake! YAY!!! Time to chug coffee and red bull for the foreseeable future and hopefully not pass out behind the wheel!!!
T0124,2339,3,0,1,2,2,@05235fd083ad408 hick yes
T0125,2341,3,0,1,2,2,"@05proFESSOR Charlie Sheen could coach better than Crusty Dusty. Yeah they hired Bryan Price, the pitching coach"
T0126,2374,6,1,2,3,2,@2ANow She looks like a plastic monkey doll!
T0127,2421,3,0,0,3,2,@ActaBunniFooFoo I like my gross yellow heat lamps. Why?
T0128,2434,3,0,0,3,2,"@AjKFAN Big congrats to all! I expect him to be blogging on rube chat in a few days! Now get some sleep, you will need it!"
T0129,2437,3,0,3,0,1,@Alan_Casillas haha shit niggah i wish
T0130,2457,3,2,1,0,0,@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.
T0131,2470,3,0,3,0,1,@AmPowerBlog but can we all at least agree that you whining like a little bitch because someone threw your phone is absolutely hilarious?
T0132,2472,3,1,2,0,1,"@AmPowerBlog so a man who is a pussy and a coward overpowered you and easily took what was yours? You are clearly much less than a man, then"
T0133,2484,3,0,3,0,1,@American_Pye bitch would rather fuck a poster? damn... thats cold.
T0134,2488,3,0,0,3,2,@AmosPOrr Congrats Amos! :)
T0135,2491,3,2,1,0,0,@AndreBerto can't wait for more PEDS is that it? Roid munching faggot
T0136,2498,3,0,2,1,1,@AndyHerren @AarynElizaGries cry baby bitch
T0137,2514,3,0,3,0,1,@AnthonyCumia pussy
T0138,2520,3,1,2,0,1,@AppleciderPapi @OGBEARD @godIevel nah u just a fag
T0139,2540,3,0,3,0,1,@AsapTwelvyy bruh bruh that bitch ain't loyal !
T0140,2566,3,0,3,0,1,@AyDontJudgeMe Just come stop in this bitch cause im bout to get off
T0141,2575,3,2,1,0,0,"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room"
T0142,2587,3,0,3,0,1,@BUKPSYCHODRAMA just followed me. On Vice Lord dats rns. I been listening to this nigga since 'Magic.' Almighty on you hoes!
T0143,2668,3,0,3,0,1,@Bitcheslovestar The only one of Mary's friends I like so you other bitches don't exist &#128514;&#128514;&#128564;&#128564;&#128564;&#128564;&#128164;&#9995;&#9996;&#65039;
T0144,2675,3,0,3,0,1,@BittyTang yes. Why protest about sexism then go right home and beg for a guy to beat your pussy up? Im lost at times
T0145,2707,3,0,3,0,1,@BodyByMalone Lesson 12 don't pass out at before 12 like a lil bitch
T0146,2708,3,0,3,0,1,@Bojieasx slap a taco in thT hoe face &#128514;&#128514;&#128514;&#9996;&#65039;&#128080;&#128074;&#128175;&#128536;&#128584;&#128129;
T0147,2736,3,0,0,3,2,"@Brelston I realized it's the one on Link's Awakening too, so you killed two birds with one stone. Unless you're getting the Wind Fish too."
T0148,2745,3,1,2,0,1,"@BretVonDehl Damn you bitch you never answer me anymore... LMAO JK ILY! Anyway glad of your first show, be safe when going to the next one"
T0149,2766,3,3,0,0,0,@Buckm00se @letsargueboxing sand nigger ran over some Kidd
T0150,2791,3,1,2,0,1,"@CHARLESBARRKLEY you need your ass whipped with a whip Mr house nigger, remember u will always b a nigger to them!"
T0151,2816,6,0,5,1,1,@CallMeRenee_ wussup bitch
T0152,2837,6,1,5,0,1,@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap
T0153,2857,3,0,3,0,1,@CassiusClay_232 who all in that hoe
T0154,2858,3,0,0,3,2,@CatholicMomVA @Neal_Dewing that would cripple our military :)
T0155,2888,3,2,1,0,0,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.
T0156,2914,3,1,2,0,1,@Chokmah_Makob you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood
T0157,2932,3,0,0,3,2,"@Claudialena8 she wasn't saying she did, but yes me and Kannon have both been in the ghetto and know what it's like so u look dumb."
T0158,2946,3,0,3,0,1,@Coley_Cee bitch dats yo sahara desert ass
T0159,2960,3,0,0,3,2,@ConanOBrien dat is one ugly animal but da monkey is adorable.
T0160,2973,3,2,1,0,0,@CrackerJhak Because you're a fag
T0161,3018,3,3,0,0,0,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol"
T0162,3038,3,0,0,3,2,"@Danny_Cavanagh....available online soon? I didn't have enough to get it after my Anathema merch. It's a cracker, I need it. Can u....."
T0163,3042,3,0,3,0,1,@Darienbaby_xoxo ya but you can't because its a real account dumb bitch I go to wams fucking bitch
T0164,3044,3,0,0,3,2,@Darknight420 It's showing Fairy blocked me @hajihuntingpat @PaulSmitheringa @JoeDouglas1 @JewJitsuGrl @blackorchidm16 @taxman206
T0165,3045,3,0,1,2,2,"@DarthMaverick7 @Xcntrik @religulous @chrispyosh Rather than believe that there was a man who was the very definition of good, u mock it."
T0166,3079,3,0,3,0,1,@DeezNutsDoe shut your mouth you little fuckin bitch
T0167,3084,3,0,3,0,1,@DeliaParedez @rikki_lovee @GabrielaAngela4 @StephyRae7 @TheOneMiss_Luu @Ramona_Pilar I'm coming bitches.
T0168,3095,3,1,0,2,2,@DevilGrimz ironic that he's a trashcan because he holds trash everytime you two cuddle! Burn.
T0169,3125,3,2,1,0,0,@DolanGang beans u beaner?
T0170,3127,3,0,1,2,2,"@DolfyAdolf 
Y'all gots betta machinery fo dat. Hanger be ghetto"
T0171,3146,3,0,2,1,1,@Dre_Day200 nig nog
T0172,3175,3,0,3,0,1,"@EaTMyTweetZz text me, we don't noisy hoes watching"
T0173,3177,3,0,0,3,2,@EakaErick I wouldn't share a wave with those trash cans
T0174,3180,3,0,3,0,1,@EcliptiK @zFearless @prihncess @SSickStory mine pussy
T0175,3183,3,1,2,0,1,@EdgarGuillenjr @imthatsubieguy @blakeanderson21 @joshhandsomee87 you ain't 6 feet under its not over pussy
T0176,3199,3,0,1,2,2,@EmmaLouisaSuttl @timmyn90 Anyone bring in a monkey.
T0177,3239,3,0,0,3,2,@Fabulousjonna_ I need some red green &amp; yellow pants &amp; helly shirts express
T0178,3265,3,0,0,3,2,@FloralElephants THE WASP OF ANGRY LEGEND. BEAT IT INTO A SQUISHY PULP!!!
T0179,3269,3,0,3,0,1,@FlyoutChase @Harold_Major LMFAOOOO if that bitch didn't change his @ so much I could find more
T0180,3302,3,0,3,0,1,@FvckMike_ I was bout to smack a bitch.
T0181,3304,3,0,3,0,1,@FzRodl exception for Gilda Radner that bitch was funny
T0182,3375,3,0,3,0,1,@GorgeousCamry_ ight bitch ima see u
T0183,3388,3,0,2,1,1,"@Great_White12 get it? Bc you called yourself a tool, I called you a hoe. Bc hoes are tools hahahaha I'm so funny"
T0184,3394,3,0,3,0,1,@GrizzboAdams @wyattnuckels bitch I make the plans not you pussy fart I'm in charge follow me or deny me I'm doin Friday and were fighting!!
T0185,3397,3,1,2,0,1,@GrizzboAdams @wyattnuckels haha you playin nigga I fuck bitches make money and smoke that straight og kush
T0186,3407,3,0,0,3,2,@GroteSmurf0 @illMartino @SvensTweet @KangUcup3 goh d AnoniemeAso meeting heeft weer pauze.Nog steeds niet bij hoofdstuk:hoe haal ik m'n ID?
T0187,3419,3,1,0,2,2,@HBergHattie @snkscoyote I wonder if the progs didn't relegate young black men to the ghettos to keep them away from harry reid's friends...
T0188,3437,3,0,3,0,1,@HazelEyedBarbi She walks away!? What a pussy.
T0189,3461,3,0,3,0,1,@HighOffTatianna lol fuck these lil bitches ain't shit to peep &#128526; wassup w/ you tho
T0190,3475,9,1,7,1,1,@Honey_GotBunns bitch you know you won't this &#128526;&#128131;&#128588;&#128514;
T0191,3487,3,0,3,0,1,@Hovaa_ cracker....
T0192,3559,6,0,1,5,2,@I_GotOne you look like flappy bird
T0193,3563,3,0,3,0,1,@IbePocahontas bitch we shot a music video
T0194,3575,3,0,3,0,1,@Ilovebamf is my big long lost brother I swear. I don't know what I'd do without this wetback.
T0195,3582,3,0,0,3,2,@ImSooooMad guess who's eating cracker b without you
T0196,3590,3,0,1,2,2,@ImTooMuch bread in general aint too good for ya...but honky bread the worst...&#128514;&#128514;
T0197,3620,3,0,0,3,2,@ItsKiaraaaa looks like you took a red marker and colored on your leg
T0198,3642,3,0,2,1,1,@JAYREIDOFFICIAL my nicca!
T0199,3670,3,0,2,1,1,@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.
T0200,3676,3,1,2,0,1,@JZolly23 also is search of dirty white trash hookers for the weekends
T0201,3697,6,0,6,0,1,@JalenDGAF @CourtniClark &#128308;&#9899;&#65039;&#128308;&#9899;&#65039;&#128308;&#9899;&#65039; no pressure hoe
T0202,3708,3,0,3,0,1,@JasonAstley I hate that shit. Like bitch don't ask me for shit makin me waste my time and your dumb ass ain't even using it.
T0203,3716,3,0,3,0,1,@JawShoeeAhhh @FabianMleal suck a dick hoe
T0204,3742,3,1,2,0,1,@JennaHord12 Feels like it's been a year since I seen ya queer lolol
T0205,3758,3,2,1,0,0,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard
T0206,3821,3,0,3,0,1,@JunDishes amen little mama. y does this old southern country bitch like you so much I don't know. but I do!
T0207,3831,3,0,2,1,1,"@JusDahl gross, ill stick with my galaxy, it will still receive those nips"
T0208,3845,3,0,3,0,1,"@Just_this_time we need more opinionated bitches.

#MOAR"
T0209,3894,3,0,0,3,2,@KellyOsbourne do u still have ur blk. pom?
T0210,3900,3,0,0,3,2,@KenSuttling Certainlt not the paddies
T0211,3916,3,0,3,0,1,"@Kenny__Wright @yoPapi_chulo @Kush_Boy420 ""the stupidest bitch"" brb crying he called me stupid"
T0212,3921,3,0,3,0,1,@KevinKevmooney @LEllerbe when bet now i make sure that bitch is not involved that's 1 thing floyd and pac can agree on she screwed em both
T0213,3936,3,0,3,0,1,@KimberlyyAye speaking of little bitch you didn't even do all your squats you little bitch kept talking to distract everyone else &#128530; &#128587;&#128064;&#128073;&#128590; icu
T0214,3950,3,1,2,0,1,@KingUlyssesIV @truebake psh if a (sexy) bitch gotta sexy voice she can easily get shit goin
T0215,3960,3,1,2,0,1,"@KoolQueef 
Inch that bitch out and flick it wit my tongue like a damn pinada"
T0216,3972,3,0,1,2,2,@KurtBusiek well pee is oft yellow.
T0217,3976,3,0,3,0,1,@KxRxSxB haha alright well you gotta get here and see this bitch haha you'll scare the shit outta him I already have
T0218,4000,3,0,3,0,1,@LaneBelgarde @A7XDemery you Sick bitch didnt even invite me
T0219,4026,3,3,0,0,0,@LexVan13 go back to nigeria faggot
